title,artist,year,spotify_url
Right Thurr,Chingy,2003,https://open.spotify.com/track/0l3GEbH3CviUytD6iX4wzg
Numb,Linkin Park,2003,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
Suga Suga,"Baby Bash, Frankie J",2003,https://open.spotify.com/track/00LfFm08VWeZwB0Zlm24AT
Follow Me,Uncle Kracker,2000,https://open.spotify.com/track/4KoecuyOpZaNFZ0UqVsllc
Replay,Iyaz,2009,https://open.spotify.com/track/5vlEg2fT4cFWAqU5QptIpQ
Drops of Jupiter (Tell Me),Train,2001,https://open.spotify.com/track/2hKdd3qO7cWr2Jo0Bcs0MA
Boombastic,Shaggy,2002,https://open.spotify.com/track/1jqLJBQwo7yBCqYQWukLkq
The Message,Grandmaster Flash,1999,https://open.spotify.com/track/5bvNTjZl2XURJEDHTkN71h
I Want It That Way,Backstreet Boys,2001,https://open.spotify.com/track/6e40mgJiCid5HRAGrbpGA6
Unwritten,Natasha Bedingfield,2004,https://open.spotify.com/track/1D1nixOVWOxvNfWi0UD7VX
Africa,TOTO,1982,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
Teenagers,My Chemical Romance,2006,https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0
Shake That,"Eminem, Nate Dogg",2005,https://open.spotify.com/track/6KqKg8IPuvtDB3PNAvffFf
Hey There Delilah,Plain White T's,2005,https://open.spotify.com/track/0THbsvMRmCHpFT3YLX301c
Where Is The Love?,Black Eyed Peas,2007,https://open.spotify.com/track/5qtkvVNDdfCT7QAW726uvO
Fly Away,Lenny Kravitz,1998,https://open.spotify.com/track/1OxcIUqVmVYxT6427tbhDW
Give It Up,KC & The Sunshine Band,1990,https://open.spotify.com/track/7sm3orGGwNFqmWFSPRl8eT
Copperhead Road,Steve Earle,2008,https://open.spotify.com/track/6MJfUwA6taOw8s1A7WoThd
Nutbush City Limits,Ike & Tina Turner,2008,https://open.spotify.com/track/06yREZ9X92R2e9RJpdzZ2O
You Give Love A Bad Name,Bon Jovi,1986,https://open.spotify.com/track/3U7H63zKWLjOuFZJUmTowp
Devil Inside,INXS,2012,https://open.spotify.com/track/3r2Tau6Obzzc1Nvrn7Gg4j
Sound of da Police,KRS-One,1993,https://open.spotify.com/track/3Y6XWs8xMlCngyIxNOFnsp
I Wish I Was a Punk Rocker (with Flowers in My Hair),Sandi Thom,2006,https://open.spotify.com/track/4mnTMsp8Cgf9TNiQMhH11L
All Summer Long,Kid Rock,2008,https://open.spotify.com/track/7t00jJDygiHzPabOYS6AGb
Crazy,"Gnarls Barkley, CeeLo Green, Danger Mouse",2007,https://open.spotify.com/track/1vxw6aYJls2oq3gW0DujAo
I Don't Feel Like Dancin' - Radio Edit,Scissor Sisters,2006,https://open.spotify.com/track/1qEHgdFqUxFebMPk8s2HLY
Wish You Well,Bernard Fanning,2005,https://open.spotify.com/track/48xq0DnfAKtsFjK1L7GZx9
DARE (feat. Shaun Ryder & Roses Gabor),"Gorillaz, Shaun Ryder, Roses Gabor",2005,https://open.spotify.com/track/4Hff1IjRbLGeLgFgxvHflk
Take Me Out,Franz Ferdinand,2004,https://open.spotify.com/track/6ooluO7DiEhI1zmK94nRCM
Gold Digger,"Kanye West, Jamie Foxx",2005,https://open.spotify.com/track/5XJJdNPkwmbUwE79gv0NxK
No Sex for Ben,The Rapture,2008,https://open.spotify.com/track/2P8xgessXZqmrM7IKif641
The Big Bang,Rock Mafia,2010,https://open.spotify.com/track/3zbrrPKjo7GprwgGyXzEsO
Hoops,The Rubens,2015,https://open.spotify.com/track/46dWvPwaO8mNLgUIU35y3q
I'm A Believer - Radio Edit,Smash Mouth,2005,https://open.spotify.com/track/5M5mzimlah21xlC1rAuIuY
Titanium (feat. Sia),"David Guetta, Sia",2012,https://open.spotify.com/track/0TDLuuLlV54CkRRUOahJb4
