title,artist,year,spotify_url
Dick In A Box,"The Lonely Island, Justin Timberlake",2009,https://open.spotify.com/track/53dap6HnA9jO5pqJ4cQpJH
Rude Boy,Rihanna,2009,https://open.spotify.com/track/5hlWtrnVUyAze5WkxF9P56
Like It's Her Birthday,Good Charlotte,2010,https://open.spotify.com/track/0AYw1CBLLNu0umIuCoq77M
Take Care,"Drake, Rihanna",2011,https://open.spotify.com/track/124NFj84ppZ5pAxTuVQYCQ
In Ha Mood,Ice Spice,2023,https://open.spotify.com/track/0yUaLqhsVsguBpoOPL4cO7
Die Walküre: Ride of the Valkyries,"Richard Wagner, Eugene Ormandy, Philadelphia Orchestra",1961,https://open.spotify.com/track/55HpcVkp2r5q3vh9DtOKvl
Can't Tell Me Nothing,Kanye West,2007,https://open.spotify.com/track/2MIBAmYwiuGoKUlpq9B9sZ
Hurts So Good,John Mellencamp,1982,https://open.spotify.com/track/6LOvBuAV5KqwnNyPIVx79u
Feeling Good,Nina Simone,1965,https://open.spotify.com/track/03LDuFrKIJr4Bb2PvPUI2q
Lil Boo Thang,Paul Russell,2023,https://open.spotify.com/track/0cVyQfDyRnMJ0V3rjjdlU3
Girls (All Around the World),Reece Mastin,2013,https://open.spotify.com/track/37PVkUOwBT5gTQNQOsauFr
Call On Me - Ryan Riback Remix,"Starley, Ryan Riback",2020,https://open.spotify.com/track/3GDTO4VnjlQbHfNJ87FNfn
Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",2016,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd
Take Me Back,Noiseworks,1992,https://open.spotify.com/track/53EYBjAEncUhV6X9DuJUBd
Tipsy - Club Mix,J-Kwon,2001,https://open.spotify.com/track/6fqqAsCYfDOtXAD8Ydo06K
When I'm Small,Phantogram,2010,https://open.spotify.com/track/3y1EzRl5UEQxxd1f6Bv2aN
Catch My Disease,Ben Lee,2005,https://open.spotify.com/track/4vqHz44pzFSfDNIE20QRBu
Watch Out For This (Bumaye),"Major Lazer, Busy Signal, The Flexican, FS Green",2013,https://open.spotify.com/track/7r15j439zkGhA3KRksbwuv
Stay High - Habits Remix,"Tove Lo, Hippie Sabotage",2014,https://open.spotify.com/track/5JCi3pyggvk4B0yd0BK3ow
Dreaming,Smallpools,2015,https://open.spotify.com/track/6cMswWRv4lAU3mh5lclgCc
Bad Blood,"Taylor Swift, Kendrick Lamar",2015,https://open.spotify.com/track/3QdYxkiZu3ilLRHU6lXYvn
0 To 100 / The Catch Up,Drake,2013,https://open.spotify.com/track/4jtyUzZm9WLc2AdaJ1dso7
Just A Cloud Away,Pharrell Williams,2013,https://open.spotify.com/track/0DGTcMqvVR7fmBXgiG6jz4
Walk,Kwabs,2014,https://open.spotify.com/track/2ZvsMMI4aOkMUo92MKQzFI
Mess Is Mine,Vance Joy,2014,https://open.spotify.com/track/7lrDNvF3TwuC5vC2fGiMjy
Fireflies,Owl City,2009,https://open.spotify.com/track/3DamFFqW32WihKkTVlwTYQ
Skinny Love,Birdy,2011,https://open.spotify.com/track/2hRMHB4ZEYrCBM0d0vVEdq
